ID,Plaintext Name,Horizons Name,Simbad Name,Solar System Flag,RA (hours),DEC,RA (deg),RA (solsys),DEC (solsys)
97,134340 Pluto,134340 Pluto (1930 BM),,1,,,,,
98,90377 Sedna,90377 Sedna (2003 VB12),,1,,,,,
99,136472 Makemake,136472 Makemake (2005 FY9),,1,,,,,
100,136108 Haumea,136108 Haumea (2003 EL61),,1,,,,,
101,Moon,Moon (301),,1,,,,,
102,Titan,Titan (606),,1,,,,,
103,Triton,Triton (801),,1,,,,,
104,Europa,Europa (502),,1,,,,,
105,Callisto,Callisto (JIV),,1,,,,,
106,Ganymede,Ganymede (JIII),,1,,,,,
107,Enceladus,Enceladus (602),,1,,,,,
108,Io,Io (501),,1,,,,,
109,Kepler 22,,Kepler 22,0,19.28116667,47.884444,289.2175,,
110,GJ 436,,GJ 436,0,11.70308333,26.706667,175.54625,,
111,HATS-P-26,,HAT-P-26,0,14.21041667,4.06,213.15625,,
112,GJ 1214,,GJ 1214,0,17.25525,4.963889,258.82875,,
113,Jupiter,Jupiter (599),,1,,,,,
114,HD 93083,,HD 93083,0,10.73913887,-33.576944,161.087083,,
115,HATS-17,,HATS-17,0,12.81263887,-47.613611,192.189583,,
116,HD 189733,,HD 189733,0,20.01213887,22.710833,300.182083,,
117,HD 209458,,HD 209458,0,22.053,18.884444,330.795,,
118,Kepler 18,,Kepler 18,0,19.8719722,44.746389,298.079583,,
119,HR 8799,,HR 8799,0,23.12463887,21.134167,346.869583,,
120,HD 28185,,HD 28185,0,4.440638867,-10.550833,66.609583,,
121,HD 80606,,HD 80606,0,9.377111133,50.603611,140.656667,,
122,HD 147506,,HD 147506,0,16.34344447,41.048056,245.151667,,
123,Pollux,,Pollux,0,7.75525,28.026111,116.32875,,
124,PSR B1620-26,,PSR B1620-26,0,16.39394447,-26.531667,245.909167,,
125,Kepler 16,,Kepler 16,0,19.2717222,51.7575,289.075833,,
126,NN Ser,,NN Ser,0,15.88225,12.912222,238.23375,,
127,Kepler 223,,Kepler 223,0,19.88788887,47.279444,298.318333,,
128,IRAS 16293-2422,,IRAS 16293-2422,0,16.53961113,-24.475556,248.094167,,
129,Elias 29,,Elias 2-29,0,16.45261113,-24.621944,246.789167,,
130,IRAS 20126+4104,,IRAS 20126+4104,0,20.2405278,41.226944,303.607917,,
131,AB Aur,,AB Aur,0,4.929388867,30.551111,73.940833,,
132,FU Ori,,FU Ori,0,5.7562222,9.07,86.343333,,
133,WISE J085510.83-071442.5,,WISE J085510.83-071442.5,0,8.919666667,-7.245278,133.795,,
134,WISE J071322.55-291751.9,,WISE J071322.55-291751.9,0,7.222944467,-29.297778,108.344167,,
135,2MASSI J0415195-093506,,2MASSI J0415195-093506,0,4.255416667,-9.585278,63.83125,,
136,epsilon Ind Bb,,eps Ind B,0,22.06958333,-56.782778,331.04375,,
137,Luhman 16B,,Luhman 16B,0,10.82191667,-53.319167,162.32875,,
138,Luhman 16A,,Luhman 16A,0,10.82194447,-53.319444,162.329167,,
139,HD 130948BC,,HD 130948BC,0,14.8377778,23.911667,222.566667,,
140,2MASSI J1506544+132106,,2MASSI J1506544+132106,0,15.11508333,13.351667,226.72625,,
141,PPL 15,,PPL 15,0,3.801305533,23.658333,57.019583,,
142,2MASS J0523-1403,,2MASS J05233822-1403022,0,5.393944467,-14.050556,80.909167,,
143,VB 10,,VB 10,0,19.28266667,5.150556,289.24,,
144,Wolf 359,,Wolf 359,0,10.94133333,7.014444,164.12,,
145,HD 95735,,HD 95735,0,11.05561113,35.97,165.834167,,
146,61 Cyg B,,61 Cyg B,0,21.11536113,38.741944,316.730417,,
147,61 Cyg A,,61 Cyg A,0,21.1149722,38.749444,316.724583,,
148,epsilon Eri,,eps Eri,0,3.548833333,-9.458333,53.2325,,
149,kappa 1 Cet,,kap01 Cet,0,3.322694467,3.370278,49.840417,,
150,Sun,Sun,,1,,,,,
151,beta Vir,,bet Vir,0,11.84491667,1.764722,177.67375,,
152,pi 3 Ori,,pi.03 Ori,0,4.830666667,6.961389,72.46,,
153,78 UMa,,78 UMa,0,13.01213887,56.366389,195.182083,,
154,alpha Cep,,alf Cep,0,21.30966667,62.585556,319.645,,
155,Alcor,,g UMa,0,13.42041667,54.988056,201.30625,,
156,Vega,,Vega,0,18.61563887,38.783611,279.234583,,
157,lambda Aql,,lam Aql,0,19.10413887,-4.8825,286.562083,,
158,alpha Gru,,alf Gru,0,22.1372222,-46.961111,332.058333,,
159,eta UMa,,eta UMa,0,13.79233333,49.313333,206.885,,
160,10 Lac,,10 Lac,0,22.65436113,39.050278,339.815417,,
161,HD 46150,,HD 46150,0,6.532083333,4.942778,97.98125,,
162,HD 64568,,HD 64568,0,7.893944467,-26.234167,118.409167,,
163,kappa CrB,,kap CrB,0,15.85386113,35.6575,237.807917,,
164,mu Her,,mu Her,0,17.77430553,27.720556,266.614583,,
165,Procyon,,Procyon,0,7.6550278,5.225,114.825417,,
166,iota UMa,,iot UMa,0,8.986805533,48.041944,134.802083,,
167,gamma Cru,,gam Cru,0,12.51944447,-57.113333,187.791667,,
168,Aldebaran,,Aldebaran,0,4.598666667,16.509167,68.98,,
169,Arcturus,,Arcturus,0,14.2610278,19.1825,213.915417,,
170,alpha Ser,,alf Ser,0,15.73780553,6.425556,236.067083,,
171,BD +17 3248,,BD +17 3248,0,17.47069447,17.51,262.060417,,
172,RR Lyr,,RR Lyr,0,19.42441667,42.784444,291.36625,,
173,HD 161817,,HD 161817,0,17.77794447,25.749167,266.669167,,
174,R Dor,,R Dor,0,4.612666667,-62.077222,69.19,,
175,RS Cnc,,RS Cnc,0,9.177444467,30.963056,137.661667,,
176,IRC +10216,,IRC +10216,0,9.7992778,13.278889,146.989167,,
177,IRC +10011,,WX Psc,0,1.1072222,12.598056,16.608333,,
178,HD 44179,,HD 44179,0,6.332833333,-10.6375,94.9925,,
179,V4334 Sgr,,V4334 Sgr,0,17.87575,-17.685556,268.13625,,
180,Regulus,,Regulus,0,10.1395278,11.967222,152.092917,,
181,Capella Ab,,Capella,0,5.278166667,45.998056,79.1725,,
182,alpha Hya,,alf Hya,0,9.4597778,-8.658611,141.896667,,
183,alpha Cet,,alf Cet,0,3.038,4.089722,45.57,,
184,zeta Aur,,zet Aur,0,5.041305533,41.075833,75.619583,,
185,epsilon Vir,,eps Vir,0,13.0362778,10.959167,195.544167,,
186,Capella Aa,,Capella,0,5.278166667,45.998056,79.1725,,
187,delta Cep,,del Cep,0,22.48619447,58.415278,337.292917,,
188,beta Ara,,bet Ara,0,17.42166667,-55.53,261.325,,
189,l Car,,l Car,0,9.754111133,-62.507778,146.311667,,
190,Canopus,,Canopus,0,6.399194467,-52.695556,95.987917,,
191,MSX SMC 055,,MSX SMC 055,0,0.835333333,-73.523611,12.53,,
192,iota Ori,,iot Ori,0,5.590555533,-5.91,83.858333,,
193,zeta Per,,zet Per,0,3.902194467,31.883611,58.532917,,
194,Deneb,,Deneb,0,20.6905278,45.280278,310.357917,,
195,Betelgeuse,,Betelgeuse,0,5.9195278,7.406944,88.792917,,
196,rho Cas,,rho Cas,0,23.90638887,57.499444,358.595833,,
197,VY CMa,,VY CMa,0,7.382861133,-25.7675,110.742917,,
198,EZ CMa,,HD 50896,0,6.903611133,-23.928333,103.554167,,
199,gamma 2 Vel,,gam02 Vel,0,8.158888867,-47.336667,122.383333,,
200,WR 102,,WR 102,0,17.76319447,-26.174167,266.447917,,
201,zeta 1 Sco,,zet01 Sco,0,16.89991667,-42.361944,253.49875,,
202,AG Car,,AG Car,0,10.93655553,-60.453611,164.048333,,
203,eta Car,,eta Car,0,10.7509722,-59.684444,161.264583,,
204,epsilon Ser,,eps Ser,0,15.84694447,4.477778,237.704167,,
205,alpha 2 CVn,,alf02 CVn,0,12.93380553,38.318333,194.007083,,
206,alpha And A,,alf And,0,0.139805533,29.090556,2.097083,,
207,lambda Boo,,lam Boo,0,14.27305553,46.088333,214.095833,,
208,2MASS J0532+8246,,2MASS J05325346+8246465,0,5.548444467,82.779167,83.226667,,
209,Kapteyn's star,,Kapteyn's star,0,5.194611133,-45.018333,77.919167,,
210,Groombridge 1830,,Groombridge 1830,0,11.883,37.718611,178.245,,
211,BD -00 4470,,BD -00 4470,0,23.15913887,0.711111,347.387083,,
212,HD 84937,,HD 84937,0,9.815583333,13.744167,147.23375,,
213,HD 140283,,HD 140283,0,15.7175278,-10.933611,235.762917,,
214,HD 122563,,HD 122563,0,14.04216667,9.686111,210.6325,,
215,HE 0107-5240,,HE 0107-5240,0,1.158111133,-52.409444,17.371667,,
216,Mira,,Mira,0,2.322444467,-2.9775,34.836667,,
217,delta Sct,,del Sct,0,18.70455553,-9.0525,280.568333,,
218,gamma Dor,,gamma Dor,0,4.267111133,-51.486667,64.006667,,
219,53 Per,,53 Per,0,4.3592222,46.498889,65.388333,,
220,beta Cep,,beta Cep,0,21.47766667,70.560833,322.165,,
221,OGLE BLAP-009,,OGLE BLAP-009,0,17.98005553,-27.281667,269.700833,,
222,PG 1716+426,,PG 1716+426,0,17.30108333,42.570278,259.51625,,
223,V361 Hya,,V361 Hya,0,14.0925,-27.026111,211.3875,,
224,SDSS J160043.6+074802.9,,V499 Ser,0,16.01211113,7.800833,240.181667,,
225,UV Cet,,UV Cet,0,1.650444467,-17.950278,24.756667,,
226,HR 1099,,HR 1099,0,3.613138867,0.587778,54.197083,,
227,TVLM 513-46546,,TVLM 513-46546,0,15.01894447,22.833889,225.284167,,
228,CU Vir,,CU Vir,0,14.20438887,2.409444,213.065833,,
229,zeta Tau,,zet Tau,0,5.627416667,21.1425,84.41125,,
230,V838 Mon,,V838 Mon,0,7.068,-3.8475,106.02,,
231,M67-S1237,,Cl* NGC 2682 SAND 1237,0,8.863944467,11.768611,132.959167,,
232,FK Com,,FK Com,0,13.513,24.232778,202.695,,
233,R CrB,,R CrB,0,15.80955553,28.156667,237.143333,,
234,HD 124448,,HD 124448,0,14.24961113,-46.288611,213.744167,,
235,40 Cnc,,40 Cnc,0,8.669861133,19.971111,130.047917,,
236,HD 149382,,HD 149382,0,16.57313887,-4.014444,248.597083,,
237,BD+28 4211,,BD+28 4211,0,21.85305553,28.863889,327.795833,,
238,PG 1544+488,,PG 1544+488,0,15.76991667,48.643611,236.54875,,
239,G77-61,,G 77-61,0,3.543916667,1.966667,53.15875,,
240,zeta Oph,,zet Oph,0,16.61930553,-10.567222,249.289583,,
241,HD 271791,,HD 271971,0,6.137361133,-71.385278,92.060417,,
242,HVS 1,,[BGK2006] HV 1,0,9.129166667,2.751944,136.9375,,
243,NLTT 11748,,NLTT 11748,0,3.754666667,17.8025,56.32,,
244,LAWD 32,,LAWD 32,0,9.7775278,43.914444,146.662917,,
245,van Maanen 2,,Wolf 28,0,0.819416667,5.388611,12.29125,,
246,Sirius B,,Sirius B,0,6.752583333,-16.716944,101.28875,,
247,GD 50,,GD 50,0,3.813944467,0.975556,57.209167,,
248,PG 1159-035,,GW Vir,0,12.02944447,-3.761389,180.441667,,
249,GD 492,,GD 492,0,14.10983333,74.316111,211.6475,,
250,D6-3,,Gaia DR2 2156908318076164224,0,18.86719447,62.035278,283.007917,,
251,QU Vul,,QU Vul,0,20.44608333,27.845,306.69125,,
252,G191-B2B,,G191-B2B,0,5.091833333,52.831111,76.3775,,
253,LHS 253,,LHS 253,0,8.692333333,-32.9425,130.385,,
254,GD 358,,GD 358,0,16.78844447,32.475833,251.826667,,
255,LAWD 87,,LAWD 87,0,21.53783333,0.253889,323.0675,,
256,Stein 2051B,,Stein 2051 B,0,4.520166667,58.978056,67.8025,,
257,LAWD 37,,LAWD 37,0,11.76191667,-64.841389,176.42875,,
258,HZ 21,,HZ 21,0,12.23230553,32.941944,183.484583,,
259,WD 1150+012,,WD 1150+012,0,11.88486113,0.946111,178.272917,,
260,SDSS 1102+2054,,LSPM J1102+2054,0,11.04438887,20.911111,165.665833,,
261,Grw +70 8247,,LAWD 73,0,19.00286113,70.664167,285.042917,,
262,ZZ Cet,,ZZ Cet,0,1.6037778,-11.3425,24.056667,,
263,Ton 124,,Ton 124,0,12.75988887,42.640278,191.398333,,
264,1E 1207.4-5209,,1E 1207.4-5209,0,12.16691667,-52.441111,182.50375,,
265,Geminga,,Geminga,0,6.565055533,17.770278,98.475833,,
266,Crab pulsar,,Crab pulsar,0,5.5755278,22.014444,83.632917,,
267,SGR 1806-20,,SGR 1806-20,0,18.14425,-20.411111,272.16375,,
268,XTE J1810-197,,XTE J1810-197,0,18.16419447,-19.731111,272.462917,,
269,SGR 1935+2154,,SGR 1935+2154,0,19.58213887,21.896667,293.732083,,
270,PSR B0656+14,,PSR B0656+14,0,6.9967222,14.239444,104.950833,,
271,RX J1856.5-3754,,RX J1856.5-3754,0,18.94308333,-37.908333,284.14625,,
272,PSR J0437-4715,,PSR J0437-4715,0,4.621055533,-47.2525,69.315833,,
273,Cyg X-1,,Cygnus X-1,0,19.97269447,35.201667,299.590417,,
274,NGC 3201 BH1,,[SBC2007] NGC 3201 12560,0,10.29363887,-46.415278,154.404583,,
275,NGC 6946-BH1,,N6946-BH1,0,20.591,60.135556,308.865,,
276,Algol,,Algol,0,3.136138867,40.955556,47.042083,,
277,W UMa,,W UMa,0,9.729305533,55.9525,145.939583,,
278,FG Hya,,FG Hya,0,8.451083333,3.514444,126.76625,,
279,OO Aql,,OO Aql,0,19.8035278,9.308889,297.052917,,
280,CH Cyg,,CH Cyg,0,19.40919447,50.241389,291.137917,,
281,R Aqr,,R Aqr,0,23.73041667,-15.284444,355.95625,,
282,RR Tel,,RR Tel,0,20.07180553,-55.725833,301.077083,,
283,RS Oph,,RS Oph,0,17.837,-6.707778,267.555,,
284,SS Cyg,,SS Cyg,0,21.71188887,43.586111,325.678333,,
285,UX UMa,,UX UMa,0,13.61138887,51.913611,204.170833,,
286,T Pyx,,T Pyx,0,9.078194467,-32.38,136.172917,,
287,GK Per,,GK Per,0,3.52,43.904167,52.8,,
288,DQ Her,,DQ Her,0,18.12508333,45.859167,271.87625,,
289,AE Aqr,,AE Aqr,0,20.6692222,0.870833,310.038333,,
290,AM Her,,AM Her,0,18.27036113,49.868056,274.055417,,
291,AR Sco,,AR Sco,0,16.36313887,-22.886111,245.447083,,
292,AM CVn,,AM CVn,0,12.58183333,37.628889,188.7275,,
293,QR And,,QR And,0,0.3305278,21.947778,4.957917,,
294,Sco X-1,,Sco X-1,0,16.3319722,-15.640278,244.979583,,
295,4U 1608-52,,4U 1608-52,0,16.21194447,-52.423056,243.179167,,
296,4U 1730-335,,4U 1730-335,0,17.55683333,-33.388889,263.3525,,
297,4U 1820-303,,4U 1820-303,0,18.39461113,-30.361389,275.919167,,
298,GX 1+4,,GX 1+4,0,17.53394447,-24.745556,263.009167,,
299,SAX J1808.4-3658,,SAX J1808.4-3658,0,18.1409722,-36.978889,272.114583,,
300,PSR J1023+0038,,PSR J1023+0038,0,10.39658333,0.644722,155.94875,,
301,Her X-1,,Her X-1,0,16.96383333,35.342222,254.4575,,
302,A 0535+26,,1A 0535+26,0,5.6485,26.315833,84.7275,,
303,Vel X-1,,Vela X-1,0,9.03525,-40.554722,135.52875,,
304,Cen X-3,,Cen X-3,0,11.35419447,-60.623889,170.312917,,
305,4U 1954+31,,4U 1954+31,0,19.92841667,32.096944,298.92625,,
306,V404 Cyg,,V404 Cyg,0,20.40105553,33.867222,306.015833,,
307,MCW 656,,MCW 656,0,18.31011113,-13.800556,274.651667,,
308,GRS 1915+105,,GRS 1915+105,0,19.25319447,10.945833,288.797917,,
309,SS433,,SS433,0,19.19711113,4.982778,287.956667,,
310,M82 X-1,,M82 X-1,0,9.930555533,69.679444,148.958333,,
311,M101 ULX-1,,M101-ULX1,0,14.059,54.350833,210.885,,
312,M82 X-2,,M82 X-2,0,9.930833333,69.679167,148.9625,,
313,RZ 2109 ULX,,[LB2005] NGC 4472 X3,0,12.49436113,7.891944,187.415417,,
314,gamma Cas,,gam Cas,0,0.945138867,60.716667,14.177083,,
315,IGR J17544-2619,,IGR J17544-2619,0,17.9070278,-26.331389,268.605417,,
316,WR 140,,WR 140,0,20.34111113,43.854444,305.116667,,
317,XX Oph,,XX Oph,0,17.73236113,-6.269167,265.985417,,
318,PSR B1259-63,,PSR B1259-63,0,13.04658333,-63.835833,195.69875,,
319,PSR B1957+20,,PSR B1957+20,0,19.9935278,20.804167,299.902917,,
320,PSR J1417-4402,,PSR J1417-4402,0,14.29183333,-44.049167,214.3775,,
321,alpha Cen,,alf Cen,0,14.65825,-60.832222,219.87375,,
322,T Tau,,T Tau,0,4.3665,19.535,65.4975,,
323,Luhman 16,,Luhman 16,0,10.82191667,-53.319444,162.32875,,
324,WD 0135-052,,WD 0135-052,0,1.633166667,-4.995833,24.4975,,
325,PSR J1719-1438,,PSR J1719-1438,0,17.3194722,-14.633611,259.792083,,
326,PSR B1913+16,,PSR B1913+16,0,19.2577778,16.1075,288.866667,,
327,HW Vir,,HW Vir,0,12.73894447,-8.671389,191.084167,,
328,KOI 54,,KOI-54,0,19.7709722,43.9475,296.564583,,
329,YY Gem,,YY Gem,0,7.577055533,31.869444,113.655833,,
330,epsilon Aur,,eps Aur,0,5.032805533,43.823333,75.492083,,
331,PSR J0737-3039,,PSR J0737-3039,0,7.630888867,-30.661389,114.463333,,
332,KIC 8145411,,KIC 8145411,0,18.83555553,44.073611,282.533333,,
333,RS CVn,,RS CVn,0,13.17691667,35.935,197.65375,,
334,IC 2391,,IC 2391,0,8.675555533,-53.033333,130.133333,,
335,M67,,M67,0,8.855,11.8,132.825,,
336,Westerlund 1,,Westerlund 1,0,16.78444447,-45.851389,251.766667,,
337,N1023-FF-14,,[BL2002] N1023-FF-14,0,2.672111133,39.076944,40.081667,,
338,47 Tuc,,47 Tuc,0,0.4015,-72.081389,6.0225,,
339,M15,,M15,0,21.4995278,12.166944,322.492917,,
340,NGC 6752,,NGC 6752,0,19.18113887,-59.984444,287.717083,,
341,M31-EC4,,M31-EC4,0,0.970944467,38.050556,14.564167,,
342,Palomar 1,,Palomar 1,0,3.555555533,79.581111,53.333333,,
343,Central cluster,,Gal Center,0,17.76111113,-29.007778,266.416667,,
344,omega Cen,,ome Cen,0,13.4464722,-47.479444,201.697083,,
345,CMa R1,,CMa R1,0,7.066666667,-11.5,106,,
346,Cyg OB2,,Cyg OB2,0,20.55333333,41.316667,308.3,,
347,NGC 604,,NGC 604,0,1.575583333,30.783611,23.63375,,
348,Cen A outer filament,,[FG2000b] 7,0,13.44113887,-42.834944,201.617083,,
349,zeta Oph cloud,,zet Oph Cloud,0,16.61916667,-10.566667,249.2875,,
350,NGC 7023,,NGC 7023,0,21.02691667,68.163333,315.40375,,
351,Ori A,,Orion A,0,5.6372778,-7.118889,84.559167,,
352,G028.37+00.07,,MSXDC G028.37+0.07,0,18.71405553,-4.058333,280.710833,,
353,TMC-1,,TMC-1,0,4.696083333,25.690833,70.44125,,
354,Barnard 68,,Barnard 68,0,17.3772778,-23.826111,260.659167,,
355,Orion hot core,,Orion hot core,0,5.587361133,-5.375,83.810417,,
356,Sex A hole,,Sextans A,0,10.1834722,-4.691667,152.752083,,
357,M42,,M42,0,5.588138867,-5.391111,83.822083,,
358,W3(OH),,W3(OH),0,2.451138867,61.872778,36.767083,,
359,NGC 3603,,NGC 3603,0,11.25516667,-61.257222,168.8275,,
360,Arp 220,,Arp 220,0,15.58255553,23.503333,233.738333,,
361,HH 1,,HH 1,0,5.6057778,-6.753611,84.086667,,
362,EGO G16.59-0.05,,EGO G16.59-0.05,0,18.35255553,-14.529167,275.288333,,
363,zeta Oph bow shock,,,0,16.62083333,-10.5,249.3125,,
364,Red rectangle nebula,,HD 44179,0,6.332833333,-10.6375,94.9925,,
365,Helix nebula,,NGC 7293,0,22.4940278,-20.837222,337.410417,,
366,NGC 6302,,NGC 6302,0,17.2289722,-37.103056,258.434583,,
367,NGC 2346,,NGC 2346,0,7.15625,0.806667,107.34375,,
368,IRC +10420,,IRC +10420,0,19.44669447,11.354722,291.700417,,
369,SBW 1,,[SBW2007] 1,0,10.67205553,-59.819444,160.080833,,
370,Homunculus nebula,,Homunculus Nebula,0,10.7509722,-59.684444,161.264583,,
371,S 308,,HD 50896,0,6.903611133,-23.928333,103.554167,,
372,Cas A,,Cas A,0,23.39,58.815,350.85,,
373,Kes 75,,Kes 75,0,18.77375,-2.987222,281.60625,,
374,W44,,W44,0,18.93630553,1.2225,284.044583,,
375,SN 1987A,,SN 1987A,0,5.591111133,-69.269722,83.866667,,
376,Crab nebula,,Crab nebula,0,5.5755278,22.014444,83.632917,,
377,SWIFT J1834.9-0846 nebula,,SWIFT J1834.9-0846,0,18.58133333,-8.761389,278.72,,
378,PSR B1957+20 bow shock,,PSR B1957+20,0,19.9935278,20.804167,299.902917,,
379,Geminga halo,,,0,6.5652778,17.769722,98.479167,,
380,R Aqr nebula,,,0,23.73041667,-15.284444,355.95625,,
381,GK Per shell,,LEDA 13065,0,3.5199722,43.904167,52.799583,,
382,CAL 83 nebula,,CAL 83,0,5.726166667,-68.372778,85.8925,,
383,SAX J1712.6-3739 nebula,,SAX J1712.6-3739,0,17.20961113,-37.65,258.144167,,
384,Cyg X-1 shell,,,0,19.97269447,35.201667,299.590417,,
385,N159F,,LMC X-1,0,5.6607778,-69.743333,84.911667,,
386,W50,,W50,0,19.20555553,4.916667,288.083333,,
387,Cyg cocoon,,,0,20.47769447,41.171528,307.165417,,
