ID,Plaintext Name,Horizons Name,RA (deg),DEC,RA (hours),RA (solsys),DEC (solsys),Solar System Flag
413,IC 225,,36.617917,1.160278,2.4411944666666665,,,0.0
358,W3(OH),,36.767083,61.872778,2.4511388666666667,,,0.0
657,Abell 370,,39.960417,-1.585556,2.6640278,,,0.0
337,N1023-FF-14,,40.081667,39.076944,2.6721111333333334,,,0.0
442,UGC 2162,,40.1025,1.226667,2.6734999999999998,,,0.0
713,PTF 14jg,,40.125417,60.879444,2.6750278,,,0.0
472,NGC 1052,,40.27,-8.255833,2.6846666666666668,,,0.0
476,NGC 1068,,40.67,0.013333,2.7113333333333336,,,0.0
37,7968 Elst-Pizarro,7968 Elst-Pizarro (1996 NU5),41.31621,14.55573,2.7544139999999997,,,1.0
457,NGC 1097,,41.579583,-30.275,2.7719722,,,0.0
44,15760 Albion,15760 Albion (1992 QB1),42.56772,18.02409,2.837848,,,1.0
595,PSR J0250+5854,,42.574167,58.900278,2.8382778,,,0.0
450,3C 75,,44.423333,6.024444,2.961555533333333,,,0.0
183,alpha Cet,,45.57,4.089722,3.038,,,0.0
740,LWAT 171018,,46.0,2.0,3.066666666666667,,,0.0
796,03.10+58.0,,46.75,58.033333,3.1166666666666667,,,0.0
47,2001 QR322,612243 (2001 QR322),47.01263,16.24798,3.1341753333333333,,,1.0
276,Algol,,47.042083,40.955556,3.1361388666666667,,,0.0
694,CMB cold spot,,48.25,-20.5,3.216666666666667,,,0.0
571,SMSS J0313-6708,,48.251667,-67.144167,3.2167778,,,0.0
810,Perseus flasher,,48.4125,32.243611,3.2275,,,0.0
51,(181902) 1999 RD215,181902 (1999 RD215),48.45155,8.54954,3.230103333333333,,,1.0
459,NGC 1291,,49.3275,-41.108056,3.2885,,,0.0
481,NGC 1265,,49.565417,41.857778,3.304361133333333,,,0.0
149,kappa 1 Cet,,49.840417,3.370278,3.322694466666667,,,0.0
508,Perseus cluster,,49.946667,41.513056,3.3297778,,,0.0
